City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Menongue,AO,-14.6585,17.691,55.2,26,1,1.81,clear sky
282,Marsh Harbour,BS,26.5412,-77.0636,83.66,71,67,14.63,broken clouds
283,Raga,SS,8.4596,25.678,68.86,96,93,4.63,overcast clouds
284,Xining,CN,36.6167,101.7667,53.51,86,38,2.73,scattered clouds
285,Bathsheba,BB,13.2167,-59.5167,83.05,90,75,19.57,broken clouds
286,Ilhabela,BR,-23.7781,-45.3581,61.7,76,27,5.1,scattered clouds
287,Mbuguni,TZ,-3.5667,36.95,67.39,69,96,5.73,overcast clouds
288,Provost,CA,52.3501,-110.2683,77.45,53,83,8.97,broken clouds
289,Panaba,MX,21.2833,-88.2667,86.4,57,100,15.64,overcast clouds
290,Revin,FR,49.9404,4.635,69.6,56,76,3.13,broken clouds
291,Zhigansk,RU,66.7697,123.3711,65.5,83,94,11.39,overcast clouds
292,Karratha,AU,-20.7377,116.8463,68.97,56,31,3.24,scattered clouds
293,Forbes,AU,-33.3833,148.0167,51.93,64,100,7.9,overcast clouds
294,Eenhana,NA,-17.4667,16.3333,60.1,28,2,4.74,clear sky
295,Roald,NO,62.5833,6.1333,61.9,94,75,3.44,light rain
296,Thanh Hoa,VN,19.8,105.7667,79.93,92,100,2.26,overcast clouds
297,Wiang Sa,TH,8.6359,99.3666,76.26,93,99,2.17,overcast clouds
298,Asyut,EG,27.181,31.1837,87.21,17,0,5.91,clear sky
299,Chambishi,ZM,-12.6325,28.0537,58.98,44,3,3.71,clear sky
300,Coahuayana,MX,18.7333,-103.6833,87.53,62,96,5.86,overcast clouds
301,Calvinia,ZA,-31.4707,19.776,39.09,88,4,2.86,clear sky
302,Kanniyakumari,IN,8.0833,77.5667,79.16,88,46,12.73,scattered clouds
303,Kruisfontein,ZA,-34.0033,24.7314,49.77,76,3,12.97,clear sky
304,Kijang,KR,35.2442,129.2139,82.13,95,100,1.39,overcast clouds
305,Bah,IN,26.87,78.5975,86.07,70,100,2.95,overcast clouds
306,Hit,IQ,33.6416,42.8251,95.02,11,0,3.56,clear sky
307,Karakol,KG,42.4907,78.3936,56.84,79,93,2.82,overcast clouds
308,Xichang,CN,27.8964,102.2634,65.71,95,100,0.47,overcast clouds
309,Peterhead,GB,57.5058,-1.7981,57.51,90,100,10.07,overcast clouds
310,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,20,5.75,few clouds
311,Saint-Augustin,CA,51.226,-58.6502,68.54,68,84,14.65,broken clouds
312,Tautira,PF,-17.7333,-149.15,77.41,74,17,23.24,light rain
313,West Des Moines,US,41.572,-93.7453,89.89,37,0,9.22,clear sky
314,West Bay,KY,19.3667,-81.4167,88.07,73,9,1.99,clear sky
315,Road Town,VG,18.4167,-64.6167,82.26,82,35,18.32,scattered clouds
316,Dauphin,CA,51.1494,-100.0502,79.14,54,100,6.35,overcast clouds
317,Aquiraz,BR,-3.9014,-38.3911,79.18,84,44,8.16,scattered clouds
318,Batemans Bay,AU,-35.7167,150.1833,42.1,67,81,6.53,broken clouds
319,Luderitz,NA,-26.6481,15.1594,54.16,63,57,21.77,broken clouds
320,Stutterheim,ZA,-32.5708,27.424,45.54,83,100,6.11,overcast clouds
321,Santiago,CL,-33.4569,-70.6483,61.99,66,100,1.43,overcast clouds
322,Morristown,US,36.214,-83.2949,86.31,65,0,1.99,clear sky
323,Ayan,RU,56.45,138.1667,57.42,90,78,7.61,broken clouds
324,Kiama,AU,-34.6833,150.8667,53.58,72,83,7.0,broken clouds
325,Norman Wells,CA,65.282,-126.8329,66.24,52,75,10.36,broken clouds
326,Lorengau,PG,-2.0226,147.2712,82.38,70,81,6.58,broken clouds
327,Puerto Escondido,MX,15.85,-97.0667,84.58,77,78,7.58,broken clouds
328,Hamilton,US,39.1834,-84.5333,85.05,46,0,3.44,clear sky
329,Hambantota,LK,6.1241,81.1185,77.34,100,20,4.61,few clouds
330,Paita,PE,-5.0892,-81.1144,65.98,81,12,17.72,few clouds
331,Muisne,EC,0.6,-80.0333,75.83,83,95,10.2,overcast clouds
332,Waipawa,NZ,-41.4122,175.5153,40.91,89,100,22.12,light rain
333,Hami,CN,42.8,93.45,85.78,20,100,10.45,overcast clouds
334,Meulaboh,ID,4.1363,96.1285,75.83,91,77,3.24,broken clouds
335,Kopavogur,IS,64.1123,-21.913,50.22,70,13,8.1,few clouds
336,Persan,FR,49.15,2.2667,75.81,67,0,8.05,clear sky
337,Atar,MR,20.5169,-13.0499,87.03,50,99,11.03,moderate rain
338,Olinda,BR,-8.0089,-34.8553,74.93,83,75,5.75,moderate rain
339,Mujiayingzi,CN,42.1167,118.7833,68.58,86,32,6.24,scattered clouds
340,Marawi,PH,7.9986,124.2928,68.92,92,100,2.73,overcast clouds
341,Jertih,MY,5.7336,102.4897,75.13,92,100,5.21,overcast clouds
342,Wagar,SD,16.1525,36.2032,88.43,49,100,17.2,overcast clouds
